episode_id,p1_archetype,p2_archetype,outcome,duration_sec,boss_hp_remaining,total_damage_to_boss,total_damage_to_players,p1_skills_unlocked,p2_skills_unlocked,phase_reached,cumulative_reward,boss_travel_dist,idle_ratio,fwd_ratio,rot_ratio,back_ratio
108,CC,Ranged,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.840,311.9,0.060,0.350,0.101,0.490
109,Hybrid,Ranged,BossWin,24.4,1.000,0,0,0,0,0,0.806,270.9,0.044,0.395,0.070,0.491
110,Hybrid,CC,BossWin,24.2,1.000,0,0,0,0,0,0.555,261.5,0.047,0.387,0.091,0.475
111,CC,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.269,287.3,0.074,0.333,0.157,0.436
112,Melee,Ranged,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.587,323.7,0.054,0.416,0.097,0.433
113,Melee,Ranged,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.558,317.0,0.047,0.390,0.113,0.449
114,CC,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.750,312.5,0.044,0.380,0.127,0.449
115,Melee,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.627,315.3,0.044,0.336,0.100,0.520
116,Melee,Hybrid,BossWin,7.0,1.000,0,0,0,0,0,1.109,76.3,0.043,0.474,0.128,0.355
117,CC,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.887,314.5,0.052,0.390,0.117,0.441
118,Melee,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.640,316.8,0.069,0.360,0.080,0.491
119,Ranged,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.605,315.9,0.059,0.377,0.100,0.465
120,Hybrid,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.625,318.3,0.062,0.371,0.087,0.480
121,Hybrid,Melee,BossWin,15.6,1.000,0,0,0,0,0,0.871,170.7,0.036,0.414,0.102,0.448
122,Hybrid,Hybrid,BossWin,20.2,1.000,0,0,0,0,0,0.580,216.2,0.046,0.434,0.119,0.402
123,Ranged,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.604,331.0,0.059,0.403,0.063,0.475
124,Hybrid,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.437,326.7,0.049,0.441,0.103,0.407
125,Melee,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.408,334.2,0.035,0.388,0.070,0.507
126,CC,Hybrid,BossWin,16.9,1.000,0,0,0,0,0,0.528,177.9,0.075,0.487,0.130,0.308
127,Melee,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.902,317.9,0.066,0.370,0.083,0.481
128,Ranged,Ranged,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.869,303.9,0.060,0.353,0.127,0.460
129,Melee,Ranged,BossWin,10.2,1.000,0,0,0,0,0,1.324,117.5,0.027,0.371,0.039,0.563
130,Ranged,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.364,326.7,0.045,0.417,0.097,0.442
131,Hybrid,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.800,318.2,0.045,0.423,0.127,0.405
132,Hybrid,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.615,335.6,0.028,0.420,0.087,0.465
133,CC,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.530,334.8,0.021,0.399,0.087,0.493
134,Ranged,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.336,328.6,0.041,0.397,0.085,0.477
135,Ranged,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.387,342.9,0.025,0.435,0.073,0.467
136,Ranged,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.702,344.4,0.025,0.470,0.083,0.422
137,CC,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.400,329.8,0.048,0.409,0.080,0.463
138,Melee,Ranged,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.615,335.4,0.035,0.442,0.090,0.433
139,Ranged,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.334,330.5,0.038,0.367,0.070,0.525
140,CC,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.144,335.7,0.041,0.413,0.070,0.475
141,CC,CC,BossWin,6.8,1.000,0,0,0,0,0,1.251,77.4,0.006,0.432,0.089,0.473
142,Ranged,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.577,343.2,0.039,0.454,0.067,0.440
143,CC,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.911,337.3,0.055,0.453,0.068,0.423
144,Ranged,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.136,335.8,0.052,0.408,0.057,0.483
145,CC,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.746,319.9,0.055,0.383,0.093,0.468
146,CC,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.587,335.8,0.023,0.403,0.083,0.490
147,Melee,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.178,343.9,0.022,0.413,0.063,0.501
148,CC,Ranged,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.250,346.5,0.012,0.448,0.080,0.460
149,Ranged,CC,BossWin,19.4,1.000,0,0,0,0,0,0.877,220.8,0.019,0.441,0.088,0.453
150,Hybrid,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.512,327.4,0.038,0.399,0.093,0.470
151,CC,Ranged,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.682,325.6,0.035,0.367,0.089,0.510
152,Melee,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.270,338.6,0.028,0.403,0.070,0.499
